Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,CRSElapsedTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiOut,Cancelled,CancellationCode
2003,1,29,3,1651,1655,1913,UA,1017,N202UA,138,-1,-4,ORD,MSY,837,17,0,NA
2003,1,30,4,1654,1655,1913,UA,1017,N311UA,138,-3,-1,ORD,MSY,837,26,0,NA
2003,1,31,5,1724,1655,1913,UA,1017,N317UA,138,23,29,ORD,MSY,837,17,0,NA
2003,1,1,3,1033,1035,1634,UA,1018,N409UA,239,-9,-2,OAK,ORD,1835,11,0,NA
2003,1,2,4,1053,1035,1634,UA,1018,N496UA,239,52,18,OAK,ORD,1835,46,0,NA
2003,1,3,5,1031,1035,1634,UA,1018,N412UA,239,6,-4,OAK,ORD,1835,13,0,NA
2003,1,4,6,1031,1035,1634,UA,1018,N455UA,239,-8,-4,OAK,ORD,1835,11,0,NA
2003,1,5,7,1035,1035,1634,UA,1018,N828UA,239,2,0,OAK,ORD,1835,9,0,NA
2003,1,6,1,1031,1035,1634,UA,1018,N453UA,239,19,-4,OAK,ORD,1835,14,0,NA
2003,1,1,3,1713,1710,1847,UA,1020,N567UA,97,4,3,IAD,BOS,413,29,0,NA
2003,1,2,4,1706,1710,1847,UA,1020,N561UA,97,-23,-4,IAD,BOS,413,12,0,NA
2003,1,3,5,1707,1710,1847,UA,1020,N554UA,97,-19,-3,IAD,BOS,413,15,0,NA
2003,1,4,6,1710,1710,1847,UA,1020,N535UA,97,-12,0,IAD,BOS,413,16,0,NA
2003,1,5,7,1832,1710,1847,UA,1020,N571UA,97,64,82,IAD,BOS,413,15,0,NA
2003,1,6,1,1710,1710,1847,UA,1020,N530UA,97,-4,0,IAD,BOS,413,22,0,NA
2003,1,7,2,1712,1710,1847,UA,1020,N553UA,97,-8,2,IAD,BOS,413,12,0,NA
2003,1,8,3,1706,1710,1847,UA,1020,N525UA,97,-21,-4,IAD,BOS,413,11,0,NA
2003,1,9,4,1706,1710,1847,UA,1020,N585UA,97,-27,-4,IAD,BOS,413,13,0,NA
2003,1,10,5,1707,1710,1847,UA,1020,N531UA,97,-16,-3,IAD,BOS,413,22,0,NA
2003,1,11,6,1708,1710,1847,UA,1020,N481UA,97,-16,-2,IAD,BOS,413,12,0,NA
2003,1,12,7,1704,1710,1847,UA,1020,N517UA,97,-24,-6,IAD,BOS,413,15,0,NA
2003,1,13,1,1714,1710,1847,UA,1020,N506UA,97,-12,4,IAD,BOS,413,12,0,NA
2003,1,14,2,1707,1710,1847,UA,1020,N512UA,97,-11,-3,IAD,BOS,413,14,0,NA
2003,1,15,3,1709,1710,1847,UA,1020,N551UA,97,-9,-1,IAD,BOS,413,14,0,NA
2003,1,16,4,1711,1710,1847,UA,1020,N518UA,97,-10,1,IAD,BOS,413,16,0,NA
2003,1,17,5,1705,1710,1847,UA,1020,N524UA,97,-10,-5,IAD,BOS,413,21,0,NA
2003,1,18,6,1706,1710,1847,UA,1020,N429UA,97,-23,-4,IAD,BOS,413,12,0,NA
2003,1,19,7,1702,1710,1847,UA,1020,N565UA,97,-13,-8,IAD,BOS,413,17,0,NA
2003,1,20,1,1709,1710,1847,UA,1020,N541UA,97,-25,-1,IAD,BOS,413,11,0,NA
2003,1,21,2,1705,1710,1847,UA,1020,N553UA,97,-20,-5,IAD,BOS,413,17,0,NA
2003,1,22,3,1708,1710,1847,UA,1020,N582UA,97,-10,-2,IAD,BOS,413,19,0,NA
2003,1,23,4,1706,1710,1847,UA,1020,N563UA,97,-16,-4,IAD,BOS,413,15,0,NA
2003,1,24,5,1708,1710,1847,UA,1020,N506UA,97,-8,-2,IAD,BOS,413,19,0,NA
2003,1,25,6,1706,1710,1847,UA,1020,N437UA,97,-13,-4,IAD,BOS,413,17,0,NA
2003,1,26,7,1748,1710,1847,UA,1020,N559UA,97,54,38,IAD,BOS,413,50,0,NA
2003,1,27,1,1718,1710,1847,UA,1020,N533UA,97,-6,8,IAD,BOS,413,10,0,NA
2003,1,28,2,1702,1710,1847,UA,1020,N584UA,97,-10,-8,IAD,BOS,413,24,0,NA
2003,1,29,3,1708,1710,1847,UA,1020,N528UA,97,-6,-2,IAD,BOS,413,18,0,NA
2003,1,30,4,1715,1710,1847,UA,1020,N510UA,97,-12,5,IAD,BOS,413,16,0,NA
2003,1,31,5,1727,1710,1847,UA,1020,N523UA,97,5,17,IAD,BOS,413,15,0,NA
2003,1,1,3,1422,1420,1600,UA,1021,N329UA,100,-2,2,BOS,IAD,413,12,0,NA
2003,1,2,4,1411,1420,1600,UA,1021,N306UA,100,2,-9,BOS,IAD,413,18,0,NA
2003,1,3,5,1414,1420,1600,UA,1021,N365UA,100,11,-6,BOS,IAD,413,29,0,NA
2003,1,4,6,1417,1420,1600,UA,1021,N337UA,100,-12,-3,BOS,IAD,413,12,0,NA
2003,1,5,7,1626,1420,1600,UA,1021,N368UA,100,132,126,BOS,IAD,413,11,0,NA
2003,1,6,1,1419,1420,1600,UA,1021,N311UA,100,13,-1,BOS,IAD,413,31,0,NA
2003,1,7,2,1357,1400,1539,UA,1021,N535UA,99,-20,-3,BOS,IAD,413,14,0,NA
2003,1,8,3,1407,1400,1539,UA,1021,N527UA,99,3,7,BOS,IAD,413,21,0,NA
2003,1,9,4,1357,1400,1539,UA,1021,N525UA,99,-5,-3,BOS,IAD,413,18,0,NA
2003,1,10,5,1408,1400,1539,UA,1021,N567UA,99,8,8,BOS,IAD,413,16,0,NA
2003,1,11,6,1353,1400,1540,UA,1021,N327UA,100,-13,-7,BOS,IAD,413,10,0,NA
2003,1,12,7,1357,1400,1540,UA,1021,N350UA,100,-9,-3,BOS,IAD,413,18,0,NA
2003,1,13,1,NA,1400,1539,UA,1021,N528UA,99,NA,NA,BOS,IAD,413,0,1,NA
2003,1,14,2,1357,1400,1539,UA,1021,N523UA,99,-15,-3,BOS,IAD,413,16,0,NA
2003,1,15,3,1352,1400,1539,UA,1021,N551UA,99,-18,-8,BOS,IAD,413,13,0,NA
2003,1,16,4,1356,1400,1539,UA,1021,N593UA,99,-10,-4,BOS,IAD,413,16,0,NA
2003,1,17,5,1401,1400,1539,UA,1021,N512UA,99,8,1,BOS,IAD,413,23,0,NA
2003,1,18,6,1355,1400,1540,UA,1021,N320UA,100,-17,-5,BOS,IAD,413,11,0,NA
2003,1,19,7,1352,1400,1540,UA,1021,N318UA,100,-20,-8,BOS,IAD,413,11,0,NA
2003,1,20,1,1357,1400,1539,UA,1021,N565UA,99,-5,-3,BOS,IAD,413,16,0,NA
2003,1,21,2,1350,1400,1539,UA,1021,N540UA,99,-10,-10,BOS,IAD,413,16,0,NA
2003,1,22,3,1356,1400,1539,UA,1021,N536UA,99,0,-4,BOS,IAD,413,16,0,NA
2003,1,23,4,1355,1400,1539,UA,1021,N546UA,99,-10,-5,BOS,IAD,413,21,0,NA
2003,1,24,5,1357,1400,1539,UA,1021,N533UA,99,-7,-3,BOS,IAD,413,14,0,NA
2003,1,25,6,1357,1400,1540,UA,1021,N361UA,100,-20,-3,BOS,IAD,413,12,0,NA
2003,1,26,7,1358,1400,1540,UA,1021,N342UA,100,-6,-2,BOS,IAD,413,11,0,NA
2003,1,27,1,1353,1400,1539,UA,1021,N512UA,99,-21,-7,BOS,IAD,413,14,0,NA
2003,1,28,2,1359,1400,1539,UA,1021,N551UA,99,-12,-1,BOS,IAD,413,16,0,NA
2003,1,29,3,1357,1400,1539,UA,1021,N556UA,99,7,-3,BOS,IAD,413,14,0,NA
2003,1,30,4,1356,1400,1539,UA,1021,N584UA,99,2,-4,BOS,IAD,413,22,0,NA
2003,1,31,5,1400,1400,1539,UA,1021,N562UA,99,-2,0,BOS,IAD,413,18,0,NA
2003,1,7,2,1405,1400,1952,UA,1022,N402UA,232,29,5,SAN,ORD,1723,16,0,NA
2003,1,8,3,1414,1400,1952,UA,1022,N449UA,232,5,14,SAN,ORD,1723,9,0,NA
2003,1,9,4,1358,1400,1952,UA,1022,N496UA,232,-28,-2,SAN,ORD,1723,8,0,NA
2003,1,10,5,1429,1400,1952,UA,1022,N406UA,232,7,29,SAN,ORD,1723,7,0,NA
2003,1,11,6,1404,1400,1952,UA,1022,N814UA,232,-16,4,SAN,ORD,1723,9,0,NA
2003,1,12,7,1358,1400,1952,UA,1022,N819UA,232,-1,-2,SAN,ORD,1723,13,0,NA
2003,1,13,1,1353,1400,1952,UA,1022,N480UA,232,-14,-7,SAN,ORD,1723,9,0,NA
2003,1,14,2,1356,1400,1952,UA,1022,N416UA,232,-13,-4,SAN,ORD,1723,13,0,NA
2003,1,15,3,1359,1400,1952,UA,1022,N401UA,232,1,-1,SAN,ORD,1723,11,0,NA
2003,1,16,4,1400,1400,1952,UA,1022,N457UA,232,0,0,SAN,ORD,1723,15,0,NA
2003,1,17,5,1410,1400,1952,UA,1022,N401UA,232,19,10,SAN,ORD,1723,9,0,NA
2003,1,18,6,1359,1400,1952,UA,1022,N835UA,232,7,-1,SAN,ORD,1723,9,0,NA
2003,1,19,7,1355,1400,1952,UA,1022,N824UA,232,-15,-5,SAN,ORD,1723,11,0,NA
2003,1,20,1,1359,1400,1952,UA,1022,N410UA,232,2,-1,SAN,ORD,1723,11,0,NA
2003,1,21,2,1409,1400,1952,UA,1022,N401UA,232,4,9,SAN,ORD,1723,10,0,NA
2003,1,22,3,1359,1400,1952,UA,1022,N463UA,232,0,-1,SAN,ORD,1723,12,0,NA
2003,1,23,4,1517,1400,1952,UA,1022,N401UA,232,62,77,SAN,ORD,1723,14,0,NA
2003,1,24,5,1356,1400,1952,UA,1022,N489UA,232,-4,-4,SAN,ORD,1723,11,0,NA
2003,1,25,6,1358,1400,1952,UA,1022,N817UA,232,1,-2,SAN,ORD,1723,11,0,NA
2003,1,26,7,1410,1400,1952,UA,1022,N845UA,232,49,10,SAN,ORD,1723,37,0,NA
2003,1,27,1,1401,1400,1952,UA,1022,N401UA,232,14,1,SAN,ORD,1723,30,0,NA
2003,1,28,2,1615,1400,1952,UA,1022,N410UA,232,148,135,SAN,ORD,1723,45,0,NA
2003,1,29,3,1356,1400,1952,UA,1022,N408UA,232,-15,-4,SAN,ORD,1723,12,0,NA
2003,1,30,4,1357,1400,1952,UA,1022,N409UA,232,4,-3,SAN,ORD,1723,9,0,NA
2003,1,31,5,1537,1400,1952,UA,1022,N413UA,232,101,97,SAN,ORD,1723,14,0,NA
2003,1,1,3,1339,1345,1952,UA,1022,N820UA,247,-1,-6,SJC,ORD,1829,19,0,NA
2003,1,2,4,1429,1345,1952,UA,1022,N826UA,247,47,44,SJC,ORD,1829,26,0,NA
2003,1,3,5,1343,1345,1952,UA,1022,N822UA,247,-10,-2,SJC,ORD,1829,9,0,NA
2003,1,4,6,1347,1345,1952,UA,1022,N807UA,247,-6,2,SJC,ORD,1829,9,0,NA
2003,1,5,7,1420,1345,1952,UA,1022,N841UA,247,39,35,SJC,ORD,1829,12,0,NA
2003,1,6,1,1337,1345,1952,UA,1022,N821UA,247,-11,-8,SJC,ORD,1829,9,0,NA
2003,1,1,3,1938,1940,2226,UA,1023,N350UA,226,-13,-2,ORD,PHX,1440,16,0,NA
2003,1,2,4,1955,1940,2226,UA,1023,N356UA,226,3,15,ORD,PHX,1440,27,0,NA
2003,1,3,5,1943,1940,2226,UA,1023,N314UA,226,-7,3,ORD,PHX,1440,15,0,NA
2003,1,4,6,2023,1940,2226,UA,1023,N308UA,226,53,43,ORD,PHX,1440,40,0,NA
2003,1,5,7,1956,1940,2226,UA,1023,N307UA,226,15,16,ORD,PHX,1440,26,0,NA
2003,1,6,1,2010,1950,2231,UA,1023,N407UA,221,-13,20,ORD,PHX,1440,13,0,NA
2003,1,1,3,1604,1555,1843,UA,1024,N461UA,108,10,9,ORD,IAD,589,21,0,NA
2003,1,2,4,1555,1555,1843,UA,1024,N803UA,108,4,0,ORD,IAD,589,21,0,NA
2003,1,3,5,1554,1555,1843,UA,1024,N815UA,108,-6,-1,ORD,IAD,589,14,0,NA
2003,1,4,6,1554,1555,1843,UA,1024,N835UA,108,-7,-1,ORD,IAD,589,16,0,NA
2003,1,5,7,1615,1555,1843,UA,1024,N413UA,108,35,20,ORD,IAD,589,19,0,NA
2003,1,6,1,1555,1555,1843,UA,1024,N825UA,108,-8,0,ORD,IAD,589,12,0,NA
2003,1,7,2,1839,1840,2327,UA,1026,N457UA,167,-2,-1,DEN,ATL,1199,19,0,NA
2003,1,8,3,2118,1840,2327,UA,1026,N802UA,167,144,158,DEN,ATL,1199,9,0,NA
2003,1,9,4,1837,1840,2327,UA,1026,N837UA,167,-14,-3,DEN,ATL,1199,14,0,NA
2003,1,10,5,1838,1840,2327,UA,1026,N803UA,167,-18,-2,DEN,ATL,1199,20,0,NA
2003,1,11,6,1838,1840,2327,UA,1026,N466UA,167,-15,-2,DEN,ATL,1199,19,0,NA
2003,1,12,7,1839,1840,2327,UA,1026,N416UA,167,-15,-1,DEN,ATL,1199,14,0,NA
2003,1,13,1,1838,1840,2327,UA,1026,N809UA,167,-11,-2,DEN,ATL,1199,21,0,NA
2003,1,14,2,1837,1840,2327,UA,1026,N822UA,167,-17,-3,DEN,ATL,1199,17,0,NA
2003,1,15,3,1836,1840,2327,UA,1026,N813UA,167,-23,-4,DEN,ATL,1199,16,0,NA
2003,1,16,4,1838,1840,2327,UA,1026,N819UA,167,-14,-2,DEN,ATL,1199,15,0,NA
2003,1,17,5,1839,1840,2327,UA,1026,N820UA,167,-6,-1,DEN,ATL,1199,20,0,NA
2003,1,18,6,1845,1840,2327,UA,1026,N459UA,167,-15,5,DEN,ATL,1199,10,0,NA
2003,1,19,7,1836,1840,2327,UA,1026,N436UA,167,-16,-4,DEN,ATL,1199,18,0,NA
2003,1,20,1,1836,1840,2327,UA,1026,N441UA,167,-13,-4,DEN,ATL,1199,18,0,NA
2003,1,21,2,1838,1840,2327,UA,1026,N855UA,167,-10,-2,DEN,ATL,1199,15,0,NA
2003,1,22,3,2001,1840,2327,UA,1026,N812UA,167,71,81,DEN,ATL,1199,24,0,NA
2003,1,23,4,1911,1840,2327,UA,1026,N803UA,167,2,31,DEN,ATL,1199,11,0,NA
2003,1,24,5,1838,1840,2327,UA,1026,N824UA,167,-9,-2,DEN,ATL,1199,19,0,NA
2003,1,25,6,1840,1840,2327,UA,1026,N465UA,167,-3,0,DEN,ATL,1199,16,0,NA
2003,1,26,7,1837,1840,2327,UA,1026,N482UA,167,-5,-3,DEN,ATL,1199,26,0,NA
2003,1,27,1,1838,1840,2327,UA,1026,N821UA,167,-9,-2,DEN,ATL,1199,18,0,NA
2003,1,28,2,1837,1840,2327,UA,1026,N825UA,167,-10,-3,DEN,ATL,1199,16,0,NA
2003,1,29,3,1839,1840,2327,UA,1026,N845UA,167,-6,-1,DEN,ATL,1199,19,0,NA
2003,1,30,4,2106,1840,2327,UA,1026,N836UA,167,126,146,DEN,ATL,1199,9,0,NA
2003,1,31,5,1836,1840,2327,UA,1026,N828UA,167,-15,-4,DEN,ATL,1199,14,0,NA
2003,1,7,2,1306,1310,1357,UA,1027,N364UA,107,NA,-4,BUF,ORD,473,29,0,NA
2003,1,8,3,1308,1310,1357,UA,1027,N332UA,107,-11,-2,BUF,ORD,473,14,0,NA
2003,1,9,4,1444,1310,1357,UA,1027,N901UA,107,81,94,BUF,ORD,473,7,0,NA
2003,1,10,5,1331,1310,1357,UA,1027,N352UA,107,28,21,BUF,ORD,473,28,0,NA
2003,1,11,6,1301,1310,1357,UA,1027,N334UA,107,-28,-9,BUF,ORD,473,12,0,NA
2003,1,12,7,1309,1310,1357,UA,1027,N304UA,107,6,-1,BUF,ORD,473,23,0,NA
2003,1,13,1,1307,1310,1357,UA,1027,N332UA,107,-6,-3,BUF,ORD,473,17,0,NA
2003,1,14,2,1304,1310,1357,UA,1027,N365UA,107,-17,-6,BUF,ORD,473,13,0,NA
2003,1,15,3,1310,1310,1357,UA,1027,N332UA,107,7,0,BUF,ORD,473,34,0,NA
2003,1,16,4,1306,1310,1357,UA,1027,N363UA,107,3,-4,BUF,ORD,473,32,0,NA
2003,1,17,5,1306,1310,1357,UA,1027,N354UA,107,-24,-4,BUF,ORD,473,8,0,NA
2003,1,18,6,1303,1310,1357,UA,1027,N317UA,107,-17,-7,BUF,ORD,473,12,0,NA
2003,1,19,7,1302,1310,1357,UA,1027,N305UA,107,-18,-8,BUF,ORD,473,11,0,NA
2003,1,20,1,1302,1310,1357,UA,1027,N310UA,107,0,-8,BUF,ORD,473,11,0,NA
2003,1,21,2,1302,1310,1357,UA,1027,N303UA,107,-12,-8,BUF,ORD,473,11,0,NA
2003,1,22,3,1303,1310,1357,UA,1027,N308UA,107,25,-7,BUF,ORD,473,39,0,NA
2003,1,23,4,1334,1310,1357,UA,1027,N368UA,107,8,24,BUF,ORD,473,24,0,NA
2003,1,24,5,1303,1310,1357,UA,1027,N335UA,107,-3,-7,BUF,ORD,473,30,0,NA
2003,1,25,6,1303,1310,1357,UA,1027,N337UA,107,-4,-7,BUF,ORD,473,17,0,NA
2003,1,26,7,1310,1310,1357,UA,1027,N315UA,107,8,0,BUF,ORD,473,32,0,NA
2003,1,27,1,1305,1310,1357,UA,1027,N362UA,107,-16,-5,BUF,ORD,473,16,0,NA
2003,1,28,2,1317,1310,1357,UA,1027,N309UA,107,12,7,BUF,ORD,473,23,0,NA
